token,symbol,series,instrument_type,segment,expiry,strike,opt,lot,tick,prev_close,circuit
2885,RELIANCE,EQ,EQ,1,0,0,,1,5,250000000,1000
1333,HDFCBANK,EQ,EQ,1,0,0,,1,5,165000000,1000
3045,SBIN,EQ,EQ,1,0,0,,1,5,82000000,1000
11536,TCS,EQ,EQ,1,0,0,,1,5,385000000,1000
1594,INFY,EQ,EQ,1,0,0,,1,5,154000000,1000
4963,ICICIBANK,EQ,EQ,1,0,0,,1,5,118000000,1000
10999,MARUTI,EQ,EQ,1,0,0,,1,5,1210000000,1000
1660,ITC,EQ,EQ,1,0,0,,1,5,43500000,2000
